dis,Portfolio_Equity
22872.52602078203,22872.52602078203
22923.432202143984,22923.432202143984
22896.959690243122,22896.959690243122
22789.04053214473,22789.04053214473
22809.403004689513,22809.403004689513
22571.169861471386,22571.169861471386
22371.622820903067,22371.622820903067
22451.03224665164,22451.03224665164
22595.603530932487,22595.603530932487
22536.554955737898,22536.554955737898
22316.64544262479,22316.64544262479
22288.138954256574,22288.138954256574
22534.519357279743,22534.519357279743
22247.41563115781,22247.41563115781
22267.776481711797,22267.776481711797
22302.39138744529,22302.39138744529
22355.333167265406,22355.333167265406
22727.95635849199,22727.95635849199
22479.541979001468,22479.541979001468
22962.118304793792,22962.118304793792
23137.23005391021,23137.23005391021
23458.948685765634,23458.948685765634
23627.95201751677,23627.95201751677
23811.209404447425,23811.209404447425
23668.673718624734,23668.673718624734
23957.81628718643,23957.81628718643
23805.09936509134,23805.09936509134
23646.274025630984,23646.274025630984
23371.390378221215,23371.390378221215
23623.877576618856,23623.877576618856
23801.028168175028,23801.028168175028
22980.44355688961,22980.44355688961
22632.255657114936,22632.255657114936
22929.53899751846,22929.53899751846
23098.5423292696,23098.5423292696
23658.49572633395,23658.49572633395
23849.897129088033,23849.897129088033
23656.458505884988,23656.458505884988
24210.303485584067,24210.303485584067
24082.02509892249,24082.02509892249
23996.502389836234,23996.502389836234
22725.91913804302,22725.91913804302
23245.149212008604,23245.149212008604
23047.63776989844,23047.63776989844
23017.095683072068,23017.095683072068
23367.3208032957,23367.3208032957
23381.571614493605,23381.571614493605
23640.16885224732,23640.16885224732
23452.841890391155,23452.841890391155
23507.817646678628,23507.817646678628
23764.37766398338,23764.37766398338
23833.60747545036,23833.60747545036
23619.806379702535,23619.806379702535
24027.0460986534,24027.0460986534
23762.340443534416,23762.340443534416
23792.880908369985,23792.880908369985
23847.859908639068,23847.859908639068
23845.82593217171,23845.82593217171
23658.495726333942,23658.495726333942
23501.707607322547,23501.707607322547
22778.86253985394,22778.86253985394
23015.060084613902,23015.060084613902
22821.621461410858,22821.621461410858
22917.3221627879,22917.3221627879
23192.207432188476,23192.207432188476
23640.168852247316,23640.168852247316
23744.015191438586,23744.015191438586
23515.96166250205,23515.96166250205
23566.86459988241,23566.86459988241
22982.477533356956,22982.477533356956
23279.764117742085,23279.764117742085
22978.122488050067,22978.122488050067
22953.500667655782,22953.500667655782
22976.070669683875,22976.070669683875
23025.317554454046,23025.317554454046
23267.449963563336,23267.449963563336
23023.26573608786,23023.26573608786
22699.054104367744,22699.054104367744
22458.97026964304,22458.97026964304
22411.778447220662,22411.778447220662
21956.235842147144,21956.235842147144
21385.78329861295,21385.78329861295
20591.66471126518,20591.66471126518
21716.15362941324,21716.15362941324
21857.738828625188,21857.738828625188
22017.79525910525,22017.79525910525
22500.01312493005,22500.01312493005
22360.476500102683,22360.476500102683
21818.752657676763,21818.752657676763
22491.799363502076,22491.799363502076
22686.73995018899,22686.73995018899
22863.21254958939,22863.21254958939
23119.71093124361,23119.71093124361
23146.384570004087,23146.384570004087
23115.604050529626,23115.604050529626
23068.408984125643,23068.408984125643
22932.97924001226,22932.97924001226
22758.56008096886,22758.56008096886
22779.079886621563,22779.079886621563
22785.23696371094,22785.23696371094
22694.948845644547,22694.948845644547
22801.653132631265,22801.653132631265
22684.689753813596,22684.689753813596
22795.49281156028,22795.49281156028
22738.040275316147,22738.040275316147
22756.508262602663,22756.508262602663
22598.50527247959,22598.50527247959
22883.730733251286,22883.730733251286
22838.58748521349,22838.58748521349
22941.186513477023,22941.186513477023
23117.657490886613,23117.657490886613
22861.15910923239,22861.15910923239
22766.767354433618,22766.767354433618
22881.67729289429,22881.67729289429
22456.92007326764,22456.92007326764
22407.669944515867,22407.669944515867
22612.868001042923,22612.868001042923
22707.261377832492,22707.261377832492
23103.293140332484,23103.293140332484
23292.078271920826,23292.078271920826
23326.960806136864,23326.960806136864
23452.13308041009,23452.13308041009
23649.120619490783,23649.120619490783
23308.487952877935,23308.487952877935
23290.02320957302,23290.02320957302
23142.282555262504,23142.282555262504
23154.591843468843,23154.591843468843
23394.675678193547,23394.675678193547
23460.338731884047,23460.338731884047
23392.623859827363,23392.623859827363
23567.04301887077,23567.04301887077
23394.67567819355,23394.67567819355
23353.63444489734,23353.63444489734
23546.51996923646,23546.51996923646
23542.417954494882,23542.417954494882
23411.091847113883,23411.091847113883
23491.117629367713,23491.117629367713
23589.611398908055,23589.611398908055
23212.050867676197,23212.050867676197
22571.828389737515,22571.828389737515
22569.77494938052,22569.77494938052
22296.865264778375,22296.865264778375
22208.628965078176,22208.628965078176
22118.342469002593,22118.342469002593
22600.55546885498,22600.55546885498
22629.285791954055,22629.285791954055
22717.520469663446,22717.520469663446
22783.183523353946,22783.183523353946
23086.878593402962,23086.878593402962
22974.020473308483,22974.020473308483
23088.92878977835,23088.92878977835
23546.51996923645,23546.51996923645
23597.821916354424,23597.821916354424
23589.611398908055,23589.611398908055
23979.49095029108,23979.49095029108
24041.05198924,24041.05198924
23926.140428788527,23926.140428788527
26688.110162420682,26688.110162420682
27094.405882724026,27094.405882724026
26655.27458059842,26655.27458059842
27034.898284132098,27034.898284132098
27178.53530171023,27178.53530171023
27020.529067605552,27020.529067605552
27365.26537095078,27365.26537095078
27722.31096250235,27722.31096250235
28161.43577666474,28161.43577666474
28711.36527056462,28711.36527056462
28584.142799916,28584.142799916
28106.03181480519,28106.03181480519
27984.966421245943,27984.966421245943
27525.31693545844,27525.31693545844
27564.30959437007,27564.30959437007
27701.789534858835,27701.789534858835
27381.683161861903,27381.683161861903
27699.739338483443,27699.739338483443
27412.462059345555,27412.462059345555
27504.801995778133,27504.801995778133
26950.765621164268,26950.765621164268
27332.436277091725,27332.436277091725
27636.128103159135,27636.128103159135
27804.39342909477,27804.39342909477
27709.993564341985,27709.993564341985
27478.126735026857,27478.126735026857
27515.06270959989,27515.06270959989
27465.81258084811,27465.81258084811
27235.992703926764,27235.992703926764
27248.303614123903,27248.303614123903
27213.417835926255,27213.417835926255
26997.962309559043,26997.962309559043
27127.233354592245,27127.233354592245
27094.405882724004,27094.405882724004
27182.638938442593,27182.638938442593
27664.853560285785,27664.853560285785
27894.68316915195,27894.68316915195
28155.281943556947,28155.281943556947
28325.587733923152,28325.587733923152
28126.54999846707,28126.54999846707
27718.21056975155,27718.21056975155
27849.53343315094,27849.53343315094
29084.825409045683,29084.825409045683
29066.360665740776,29066.360665740776
28926.830528876624,28926.830528876624
28571.835133700442,28571.835133700442
28916.563327091655,28916.563327091655
29142.282811262223,29142.282811262223
28774.979749870505,28774.979749870505
28567.725009004847,28567.725009004847
28715.475395260186,28715.475395260186
28809.862284086546,28809.862284086546
28584.14279991598,28584.14279991598
28653.911112329668,28653.911112329668
29066.36066574078,29066.36066574078
29246.936901873556,29246.936901873556
29339.273594324528,29339.273594324528
29411.536528593708,29411.536528593708
29116.288786648347,29116.288786648347
29238.10353995872,29238.10353995872
29636.58775255331,29636.58775255331
29640.717341138552,29640.717341138552
29913.263699800747,29913.263699800747
29950.42026512303,29950.42026512303
29793.50887481058,29793.50887481058
29436.314060105113,29436.314060105113
29242.233128543954,29242.233128543954
28874.722452329417,28874.722452329417
29079.122489381247,29079.122489381247
29165.840605689547,29165.840605689547
29172.03336657659,29172.03336657659
29568.454406869372,29568.454406869372
29865.771809079757,29865.771809079757
30225.02655210543,30225.02655210543
29923.57956130981,29923.57956130981
29527.158521017027,29527.158521017027
29287.65535899991,29287.65535899991
29258.754726866486,29258.754726866486
28554.69393489104,28554.69393489104
29291.78819156675,29291.78819156675
27844.44038202854,27844.44038202854
28470.038990884554,28470.038990884554
28600.112921365402,28600.112921365402
28028.195720135816,28028.195720135816
28288.3468250791,28288.3468250791
27429.434571111415,27429.434571111415
27545.05331955313,27545.05331955313
27914.6369000143,27914.6369000143
27933.218426657048,27933.218426657048
27900.188205938393,27900.188205938393
28030.258892437625,28030.258892437625
28096.332309801364,28096.332309801364
27185.796954536647,27185.796954536647
27792.818902722323,27792.818902722323
27768.044615192528,27768.044615192528
28193.366287618734,28193.366287618734
28459.71339743067,28459.71339743067
28339.965060403716,28339.965060403716
28143.814468577533,28143.814468577533
28470.038990884554,28470.038990884554
28666.186338729127,28666.186338729127
28812.7786235509,28812.7786235509
28664.1199224457,28664.1199224457
28036.44840934306,28036.44840934306
28119.043425029333,28119.043425029333
28389.513635463292,28389.513635463292
28496.882938679362,28496.882938679362
28038.52131358969,28038.52131358969
28143.814468577515,28143.814468577515
28244.987766924933,28244.987766924933
27522.345448306733,27522.345448306733
27309.679746121223,27309.679746121223
27348.91245967174,27348.91245967174
27247.74240530593,27247.74240530593
27478.983146170973,27478.983146170973
27103.213292785967,27103.213292785967
26832.741460361205,26832.741460361205
26907.06756693219,26907.06756693219
26748.084894363918,26748.084894363918
26663.43481632984,26663.43481632984
26459.02829131479,26459.02829131479
26896.743595469103,26896.743595469103
27026.817525949948,27026.817525949948
26525.098464696923,26525.098464696923
26702.662663907944,26702.662663907944
26704.727458200567,26704.727458200567
26845.128604126094,26845.128604126094
26779.058430743975,26779.058430743975
26791.44070853646,26791.44070853646
27018.559970770282,27018.559970770282
27330.33093302899,27330.33093302899
27024.754353648135,27024.754353648135
26894.680423167294,26894.680423167294
27336.52369391604,27336.52369391604
27074.30617268933,27074.30617268933
26894.680423167294,26894.680423167294
27026.817525949955,27026.817525949955
26950.426625086344,26950.426625086344
26733.631334315593,26733.631334315593
26758.410487817797,26758.410487817797
26824.475795227514,26824.475795227514
27408.786628185204,27408.786628185204
27443.88650916889,27443.88650916889
27140.377968062257,27140.377968062257
27103.21329278596,27103.21329278596
27452.148930320967,27452.148930320967
28484.490928942043,28484.490928942043
28232.599001169223,28232.599001169223
28612.501687121072,28612.501687121072
30706.099292423067,30706.099292423067
30381.947674362676,30381.947674362676
29869.898153683356,29869.898153683356
30485.17765704869,30485.17765704869
30635.899530455703,30635.899530455703
30336.518955943502,30336.518955943502
30330.326195056456,30330.326195056456
30617.318003812954,30617.318003812954
30906.37622885287,30906.37622885287
31308.990030032695,31308.990030032695
31275.95980931404,31275.95980931404
31296.604508258602,31296.604508258602
31098.387500148998,31098.387500148998
30677.19541630803,30677.19541630803
30615.251587529525,30615.251587529525
30441.818598894533,30441.818598894533
30487.2440733321,30487.2440733321
30187.8667428015,30187.8667428015
30165.15238359191,30165.15238359191
30472.79213527458,30472.79213527458
30507.888772276652,30507.888772276652
30404.035945122167,30404.035945122167
30836.06941549247,30836.06941549247
30684.435983254003,30684.435983254003
30379.112434438466,30379.112434438466
30356.261828001396,30356.261828001396
30507.892016258265,30507.892016258265
30050.93179122265,30050.93179122265
30177.635224814203,30177.635224814203
30262.796229951324,30262.796229951324
30273.18021507413,30273.18021507413
29861.924446894256,29861.924446894256
30040.554294063055,30040.554294063055
