Close,High,Low,Open,Volume,MA_short,MA_long,signal,Signal,Position,Returns,Strategy_Returns,Equity
RBLX,RBLX,RBLX,RBLX,RBLX,,,,,,,,
86.9800033569336,87.16000366210938,84.41500091552734,85.80000305175781,14088900,83.86714390345982,73.91466649373372,0,1.0,1.0,0.025828546028535238,0.025828546028535238,25103.200610076896
89.94999694824219,90.0,87.18000030517578,87.19999694824219,10060600,85.12285723005023,74.92266642252604,0,1.0,1.0,0.034145705641339674,0.034145705641339674,25960.367108764083
89.94999694824219,90.41000366210938,88.75,90.19999694824219,5871700,86.28571428571429,75.92399965922037,0,1.0,1.0,0.0,0.0,25960.367108764083
91.06999969482422,91.68000030517578,89.61000061035156,89.61000061035156,6569100,87.54428536551339,76.88799959818522,0,1.0,1.0,0.012451392824687879,0.012451392824687879,26283.60983750841
94.19999694824219,94.20999908447266,91.1500015258789,92.0,14582900,88.7971420288086,77.91199951171875,0,1.0,1.0,0.03436913653131213,0.03436913653131213,27186.954812549477
95.80000305175781,96.27999877929688,94.5999984741211,94.83000183105469,14102200,90.39142826625279,78.91566619873046,0,1.0,1.0,0.016985203347668287,0.016985203347668287,27648.7307684445
93.41999816894531,94.88500213623047,91.80999755859375,94.23999786376953,11066800,91.62428501674107,79.81033274332682,0,1.0,1.0,-0.024843473976996155,-0.024843473976996155,26961.840245101677
93.72000122070312,94.79000091552734,91.6500015258789,92.98999786376953,7740100,92.58714185442243,80.71999944051107,0,1.0,1.0,0.003211336519352903,0.003211336519352903,27048.42378730973
96.16999816894531,96.44999694824219,93.66999816894531,93.7300033569336,6621100,93.47571345738002,81.71233266194662,0,1.0,1.0,0.026141665773911305,0.026141665773911305,27755.514641668695
95.11000061035156,98.1500015258789,94.58999633789062,96.19000244140625,8674400,94.21285683768136,82.64766591389974,0,1.0,1.0,-0.011022123102587766,-0.011022123102587766,27449.589942512546
97.16999816894531,97.58000183105469,93.7300033569336,93.80000305175781,9216100,95.08428519112724,83.58666585286458,0,1.0,1.0,0.02165910572362617,0.02165910572362617,28044.12351314761
100.44000244140625,100.76000213623047,98.0199966430664,98.33999633789062,9324900,95.97571454729352,84.46499938964844,0,1.0,1.0,0.03365240644314427,0.03365240644314427,28987.875755953795
101.12000274658203,101.44999694824219,100.04000091552734,100.41999816894531,7433300,96.73571450369698,85.44166615804036,0,1.0,1.0,0.006770213945110903,0.006770213945110903,29184.129876635896
102.6500015258789,103.02999877929688,101.75,101.75,8863300,98.05428641183036,86.50433298746745,0,1.0,1.0,0.015130525491887425,0.015130525491887425,29625.701097692887
102.08999633789062,103.56999969482422,100.9010009765625,103.19999694824219,9958700,99.25,87.55933278401693,0,1.0,1.0,-0.005455481535936446,-0.005455481535936446,29464.07863236525
103.48999786376953,104.62999725341797,101.33000183105469,101.9800033569336,6742500,100.29571424211774,88.67399927775065,0,1.0,1.0,0.013713405584277583,0.013713405584277583,29868.131492817924
104.77999877929688,105.22000122070312,103.05999755859375,104.2300033569336,5517200,101.67714255196708,89.77066599527994,0,1.0,1.0,0.012464981564937805,0.012464981564937805,30240.437201255038
102.83999633789062,105.30000305175781,102.73500061035156,104.98999786376953,6601700,102.48714229038784,90.74899927775066,0,1.0,1.0,-0.01851500729154021,-0.01851500729154021,29680.535285974438
105.0,105.80000305175781,102.55000305175781,103.33499908447266,6697300,103.13857051304409,91.68166605631511,0,1.0,1.0,0.02100353694113788,0.02100353694113788,30303.93150528615
105.58999633789062,105.87000274658203,103.69000244140625,105.0,11053900,103.77714102608817,92.55299936930338,0,1.0,1.0,0.005619012741815421,0.005619012741815421,30474.209682541456
105.19999694824219,106.16999816894531,103.05500030517578,105.79000091552734,8945900,104.14142608642578,93.36733271280924,0,1.0,1.0,-0.003693525932138786,-0.003693525932138786,30361.652398817554
100.6500015258789,105.27999877929688,100.05999755859375,104.61000061035156,9733400,103.93571254185268,94.01333287556966,0,1.0,1.0,-0.04325090831135536,-0.04325090831135536,29048.483354735054
102.4000015258789,103.87999725341797,100.0,100.58000183105469,9560900,103.77999877929688,94.7196662902832,0,1.0,1.0,0.017386984336508426,0.017386984336508426,29553.548879823156
103.58999633789062,104.31999969482422,102.31999969482422,102.41000366210938,3215400,103.60999843052456,95.44899953206381,0,1.0,1.0,0.011621042912884905,0.011621042912884905,29896.991939583622
107.76000213623047,108.0,102.25,102.91999816894531,8510500,104.31285640171596,96.33566614786784,0,1.0,1.0,0.040254908251353694,0.040254908251353694,31100.492607103024
104.94000244140625,106.8499984741211,103.22000122070312,106.48500061035156,5962000,104.30428532191685,97.10666631062826,0,1.0,1.0,-0.026169261682634004,-0.026169261682634004,30286.615677608923
106.68000030517578,106.70999908447266,104.302001953125,105.4749984741211,5102400,104.46000017438617,97.9206662495931,0,1.0,1.0,0.016580882630921057,0.016580882630921057,30788.79449744717
105.02999877929688,107.37000274658203,102.7300033569336,106.9000015258789,5636700,104.43571472167969,98.57399953206381,0,1.0,1.0,-0.015466830907000406,-0.015466830907000406,30312.589419124768
105.69000244140625,108.0999984741211,104.80999755859375,104.94999694824219,4544500,105.1557148524693,99.27566630045573,0,1.0,1.0,0.006283953820624744,0.006283953820624744,30503.072331218103
111.83000183105469,111.95999908447266,106.3499984741211,106.3499984741211,8032300,106.5028577532087,100.17699966430663,0,1.0,1.0,0.05809441998123144,0.05809441998123144,32275.130625945767
112.4800033569336,113.06999969482422,110.20999908447266,110.61000061035156,8105900,107.77285875592914,101.02699966430664,0,1.0,1.0,0.005812407361495797,0.005812407361495797,32462.726832789253
119.0199966430664,120.16000366210938,112.2300033569336,112.4000015258789,15276300,109.38142939976284,101.99599965413411,0,1.0,1.0,0.05814360856106493,0.05814360856106493,34350.22691457973
122.16999816894531,123.33000183105469,118.30999755859375,118.88999938964844,9859500,111.84285736083984,103.06999969482422,0,1.0,1.0,0.026466153711342866,0.026466153711342866,35259.345300120505
124.5,124.5999984741211,121.3499984741211,122.87999725341797,8544800,114.38857160295758,104.18433303833008,0,1.0,1.0,0.01907180049092405,0.01907180049092405,35931.804499125006
124.5,127.98999786376953,121.55000305175781,123.7509994506836,9628000,117.17000034877232,105.19433314005533,0,1.0,1.0,0.0,0.0,35931.804499125006
120.19999694824219,124.19999694824219,118.5999984741211,123.51499938964844,10629500,119.24285670689174,106.00766626993816,0,1.0,1.0,-0.03453817712255269,-0.03453817712255269,34690.78547100129
